"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Serious Project\React Native\FoodOrdering\src\app\(auth)\_layout.tsx", "TypeScript JSX", 0, 15, 0, 0, 3, 18
"c:\Serious Project\React Native\FoodOrdering\src\app\(auth)\create-success.tsx", "TypeScript JSX", 0, 23, 0, 0, 3, 26
"c:\Serious Project\React Native\FoodOrdering\src\app\(auth)\index.tsx", "TypeScript JSX", 0, 7, 0, 0, 3, 10
"c:\Serious Project\React Native\FoodOrdering\src\app\(auth)\sign-in.tsx", "TypeScript JSX", 0, 108, 0, 3, 5, 116
"c:\Serious Project\React Native\FoodOrdering\src\app\(auth)\sign-up.tsx", "TypeScript JSX", 0, 140, 0, 1, 7, 148
"c:\Serious Project\React Native\FoodOrdering\src\app\(home)\_layout.tsx", "TypeScript JSX", 0, 34, 0, 1, 3, 38
"c:\Serious Project\React Native\FoodOrdering\src\app\(home)\index.tsx", "TypeScript JSX", 0, 4, 0, 0, 2, 6
"c:\Serious Project\React Native\FoodOrdering\src\app\(home)\logout.tsx", "TypeScript JSX", 0, 10, 0, 0, 3, 13
"c:\Serious Project\React Native\FoodOrdering\src\app\(home)\menu\_layout.tsx", "TypeScript JSX", 0, 11, 0, 0, 3, 14
"c:\Serious Project\React Native\FoodOrdering\src\app\(home)\menu\index.tsx", "TypeScript JSX", 0, 47, 0, 4, 7, 58
"c:\Serious Project\React Native\FoodOrdering\src\app\(home)\orders\_layout.tsx", "TypeScript JSX", 0, 11, 0, 0, 3, 14
"c:\Serious Project\React Native\FoodOrdering\src\app\(home)\orders\index.tsx", "TypeScript JSX", 0, 43, 0, 11, 3, 57
"c:\Serious Project\React Native\FoodOrdering\src\app\_layout.tsx", "TypeScript JSX", 0, 84, 0, 0, 10, 94
"c:\Serious Project\React Native\FoodOrdering\src\app\cart\_layout.tsx", "TypeScript JSX", 0, 12, 0, 0, 3, 15
"c:\Serious Project\React Native\FoodOrdering\src\app\cart\index.tsx", "TypeScript JSX", 0, 6, 0, 0, 3, 9
"c:\Serious Project\React Native\FoodOrdering\src\app\index.tsx", "TypeScript JSX", 0, 14, 0, 0, 5, 19
"c:\Serious Project\React Native\FoodOrdering\src\app\products\[id].tsx", "TypeScript JSX", 0, 26, 0, 0, 5, 31
"c:\Serious Project\React Native\FoodOrdering\src\app\products\_layout.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\Serious Project\React Native\FoodOrdering\src\app\products\edit\[id].tsx", "TypeScript JSX", 0, 57, 0, 19, 9, 85
"c:\Serious Project\React Native\FoodOrdering\src\app\products\edit\_layout.tsx", "TypeScript JSX", 0, 10, 0, 0, 3, 13
"c:\Serious Project\React Native\FoodOrdering\src\app\products\new.tsx", "TypeScript JSX", 0, 93, 0, 0, 8, 101
"c:\Serious Project\React Native\FoodOrdering\src\components\__tests__\StyledText-test.js", "JavaScript", 0, 0, 7, 0, 4, 11
"c:\Serious Project\React Native\FoodOrdering\src\components\cart-detail\CartDetail.tsx", "TypeScript JSX", 0, 41, 0, 0, 3, 44
